data_source,ID,food_name,food_img,recipe_link,serving,category_high_level,category_mid_level,category_low_level,created_date,views,likes,reviews,comments,재료1,재료2,재료3,재료4,재료5,재료6,재료7,재료8,재료9,재료10,재료1_정량,재료2_정량,재료3_정량,재료4_정량,재료5_정량,재료6_정량,재료7_정량,재료8_정량,재료9_정량,재료10_정량,rating
API,292,산나물된장찌개,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00292_2.png,"1. 콩은 삶아서 표고버섯과 함께
물(30g)을 넣고 간다.
2. 저염된장, 날콩가루, 갈아 놓은 콩과
표고버섯을 섞어 저염재래된장을
만든다.
3. 냄비에 육수 재료를 끓여낸 뒤
건진다.
4. 산나물과 애호박, 양파는 먹기 좋게
썰고, 청양고추와 대파는 어슷하게
썬다.
5. 저염재래된장을 육수에 풀고
곤드레나물, 고구마순, 취나물을
넣고 끓여 반 이상 익으면 애호박,
양파를 넣는다.
6. 순두부, 양념, 청양고추, 대파를 넣고
마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,5g),,,,,,,,,,0.0
API,291,완자된장국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00291_2.png,"1. 감자는 깍둑 썰고, 애호박은
모양대로 썰고, 쪽파, 양파, 부추는
잘게 다진다.
2. 두부는 으깨 물기를 제거하고,
대파는 송송 썰고, 고추는 어슷 썰고,
표고버섯은 먹기 좋은 크기로 썬다.
3. 당면, 숙주는 끓는 물에 데친 뒤
다지고, 브로콜리는 끓는 물에 살짝
데친다.
4. 볼에 돼지고기, 다진 마늘, 쪽파,
양파, 부추, 숙주, 당면, 두부를 넣은
뒤 녹말가루를 섞어 반죽해 동글
납작하게 빚어 완자를 만들어
팬에 노릇하게 굽는다.
5. 물(300g)에 된장을 풀고 애호박과
감자, 표고버섯을 넣고 끓이다가
날콩가루를 넣은 뒤 청양고추,
완자를 넣고 조금 더 끓인다.
6. 그릇에 브로콜리를 담고 국물을
부은 뒤 채 썬 대파와 고추를 얹어
마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,290,샤브된장국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00290_2.png,,1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,289,삼색묵냉국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00289_2.png,"1. 찬물에 육수 재료를 넣어 육수를
우린다.
2. 육수에 미소된장을 풀어 차갑게
식힌다.
3. 묵은 먹기 좋은 크기로 썬다.
4. 미니양배추는 반 자르고, 적양파,
양파, 오이, 래디시, 당근,
아스파라거스, 파프리카는 채 썰고,
고추는 어슷 썰어 준비한다.
5. 달걀은 지단으로 부쳐 채 썰고,
목이버섯은 물에 불린다.
6. 육수에 묵을 넣고 색을 맞춰 고명을
올린 뒤 들깻가루, 참깨, 검은깨를
얹어 마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,288,들깨된장육개장,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00288_2.png,,1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,25g),,,,,,,,,,0.0
API,287,된장냉국,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00287_2.png,,1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,286,단호박배추된장국,http://www.foodsafetykorea.go.kr/uploadimg/20230306/20230306050313_1678089793329.jpg,"1. 냄비에 육수 재료를 넣고 10분간
끓여 체로 건진다.
2. 단호박은 전자레인지에 2분간 넣고
익힌 후 껍질을 벗겨 으깬다.
3. 배추와 새송이버섯을 먹기 좋은
크기로 썰고 홍고추는 어슷 썬다.
4. 육수에 단호박을 넣어 잘 풀어준다.
5. 육수에 된장을 풀어 끓인다.
6. 배추와 새송이버섯을 넣어 익힌 후
홍고추를 넣고 마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,285,검은콩보리된장찌개,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00285_2.png,"1. 보리를 김 오른 찜기에 넣고 쪄서
저염된장과 섞은 뒤 재워
보리된장을 만든다.
2. 검은콩은 삶아서 간다.
3. 검은콩 삶은 물(200g)에 바지락,
멸치, 다시마를 넣고 끓여 육수를
만든다.
4. 애호박, 양파, 검은콩두부,
표고버섯은 깍둑 썰고, 붉은 고추,
청양고추, 대파는 어슷하게 썬다.
5. 육수에 보리된장을 풀고 호박, 양파,
표고버섯을 넣고 끓인다.
6. 갈아놓은 검은콩을 넣어 농도를
맞춘 후 검은콩두부, 대파, 고추를
넣고 한소끔 끓여 마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,343,모듬해물찜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00343_2.png,"1. 자숙새우와 소라살은 한번 데친 후 소라살은
먹기 좋게 잘라준다.
2. 전복은 껍질을 벗기지 말고 세척해 준다.
3. 양파, 홍피망, 대파는 먹기 좋게 잘라준다.
4. 청고추, 홍고추도 먹기 좋게 잘라준다.
5. 데친 물 200g에 양념장을 만들어 멕시코
고추를 담가 숙성시켜준 뒤 양념장에 알마늘을
넣어 끓여준다.
6. 만들어진 양념장에 소라, 전복, 자숙새우,
준비된 채소 순으로 넣어 모듬해물찜을 완성
한다.",1인분,,반찬,끓이기,2022-08-12,0,0,0,0,전복,자숙새우,소라살,알마늘,대파15g청고추,홍고추,홍피망,양파50g양념장:멕시코고추,맛간장,올리고당,200g,60g,45g,20g,15g,15g,15g,2g,30g,15g,0.0
API,344,크렌베리귀리밥,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00344_2.png,,1인분,,밥,끓이기,2022-08-12,0,0,0,0,백미,크렌베리,귀리,,,,,,,,150g,15g,20g,,,,,,,,0.0
API,345,블루베리냉스프,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00345_2.png,"1. 브로콜리는 먹기 좋게 잘라서 데쳐준다.
2. 건조체리는 손질해 씨를 제거하고 송송 다져서
먹기 좋게 잘라준다.
3. 라이스페이퍼를 뜨거운 물에 데쳐내 체리를
말아 체리 만두를 만든다.
4. 만들어진 체리 만두를 팬에 살짝 구워서
라이스페이퍼를 고소하게 만든다.
5. 블루베리, 딸기, 바나나, 검은콩두유와 우유를
한데 섞어 믹서에 갈아준다.
6. 갈아둔 스프를 담고 브로콜리와 체리 만두를
올리고 먹기 전에 볶은 현미를 올려준다.",1인분,,일품,기타,2022-08-12,0,0,0,0,검은콩두유,꿀,딸기,블루베리20g저지방우유,볶은현미,바나나50g고명:브로콜리,라이스페이퍼,건조체리,,,50g,15g,20g,50g,20g,15g,1장,15g,,,0.0
API,408,맑은육개장,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00408_2.png,"1. 국물 재료로 국을 끓여준 뒤 체에 걸러주고
양지는 찢어준다.
2. 무와 양파는 굵은 채로 썬다.
3. 대파의 흰 부분은 어슷하게 썰고 파란 부분은
굵게 썰어준다.
4. 고사리는 뜨거운 물에 데친 후 먹기 좋은
크기로 잘라서 고사리 양념장에 양념한다.
5. 청양고추를 썰어서 볶은 후 국물을 미리
끓여 놓은 국물에 붓는다.
6. 만들어진 국물에 모든 재료를 넣고 한 번
끓여 완성한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,고사리,무,대파,양파,팽이버섯,볶은소금,다진마늘10g국물:소고기양지,물,마늘,청양고추25g고사리양념:맛간장,25g,20g,20g,20g,10g,1g,75g,300g,20g,15g,0.0
API,406,울금해초밥,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00406_2.png,"1. 쌀은 세척 후 울금물에 불려준다.
2. 두부를 으깨서 수분을 빼준다.
3. 쌈장을 맛장으로 만들어준다.
4. 건조 미역줄기는 세척해 불린다. 이때 불리고
나온 물을 이용해 밥을 한다.
5. 올리브오일로 쌀을 볶아주다 미역줄기를
넣고 밥을 한다.
6. 두부 맛장과 함께 곁들여 완성한다.",1인분,,밥,끓이기,2022-08-12,0,0,0,0,울금가루,쌀,올리브오일,건조미역줄기10g맛장:일본된장,다진양파,두부,다진마늘,고춧가루,참기름,,15g,50g,5g,15g,15g,50g,3g,2g,15g,,0.0
API,405,장어수육구이,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00405_2.png,,1인분,,반찬,굽기,2022-08-12,0,0,0,0,장어,양파,통생강,생강청15g소스:씨겨자,통깨,매실청,,,,,250g,70g,20g,15g,5g,15g,,,,,0.0
API,404,저염 동치미,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00404_2.png,"1. 함초와 쪽파는 1cm 길이로 자른다. 청고추,
홍고추, 무는 한입 크기로 잘라주고 마늘은
편으로 썰어준다.
2. 물 1컵에 찹쌀가루를 풀어서 풀을 쑨다.
3. 물 2컵에 함초, 편마늘을 넣고 국물을 만든다.
4. 이 물로 무를 절여준다. 이때 무를 절였던 물을
버리지 말고 찹쌀 풀과 섞어 국물을 만들어
준다.
5. 만들어진 국물과 찹쌀 풀을 섞어 체에 내려
준다.
6. 모든 재료를 한데 섞어서 저염 동치미를
완성한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,함초,사과,양파,무,쪽파,청고추20g홍고추,마늘,함초소금,찹쌀가루,매실청,25g,100g,25g,100g,10g,15g,10g,2g,15g,30g,0.0
API,403,가지겉절이,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00403_2.png,,1인분,,반찬,기타,2022-08-12,0,0,0,0,가지,양파,대파,청고추,홍고추,간편어간장15g양념장:고추장,생강청,다진마늘,통깨,매실청,250g,60g,25g,15g,15g,15g,15g,5g,7g,10g,0.0
API,402,닭가슴살스튜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00402_2.png,"1. 닭가슴살은 먹기 좋은 크기로 잘라서 우유에
재워준 뒤 뜨거운 물에 데쳐준다.
2. 방울토마토는 반으로 자르고, 양파는 먹기 좋은
크기로 잘라준다.
3. 감자, 당근, 브로콜리는 먹기 좋은 크기로
잘라 뜨거운 물에 순서대로 데쳐준다.
4. 모든 재료를 올리브유에 볶아준다.
5. 토마토페이스트와 닭가슴살을 데쳐낸 물을
섞어 끓여준다.
6. 끓고 있는 국물 50g에 밀가루를 섞어 농도를
맞추어 준다.",1인분,,반찬,끓이기,2022-08-12,0,0,0,0,닭가슴살,당근,양파,브로콜리,감자40g방울토마토,우유,올리브유15g소스:토마토페이스트,다진마늘,밀가루,흰후추,200g,30g,30g,30g,100g,100g,100g,15g,7g,3g,0.0
API,401,토마토김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00401_2.png,"1. 토마토는 먹기 좋은 크기로 잘라준다.
2. 청고추, 홍고추, 양파는 채 썰고 부추는 먹기
좋게 잘라준다.
3. 바나나, 배, 젓갈을 갈아 준 뒤 고춧가루와
섞어준다.
4. 만들어진 국물에 나머지 재료를 넣고 최종
김치 국물을 만들어준다.
5. 국물에 영양부추만 뺀 재료를 넣고 버무려준다.
6. 마지막에 영양부추를 넣어 김치를 완성한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,방울토마토,영양부추,양파,청고추,홍고추15g양념:바나나,배,고춧가루,매실청,간편어간장15g통깨,다진마늘,200g,20g,40g,15g,40g,40g,15g,10g,2g,15g,0.0
API,400,카스텔라케이크와 해독주스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00400_2.png,"1. 카스텔라는 반으로 잘라준 후 꿀을 발라준다.
2. 견과류는 먹기 좋게 잘라준다.
3. 자른 카스텔라 위에 꿀을 발라준다.
4. 바른 카스텔라 위에 자른 견과류를 뿌려준다.
5. 브로콜리를 뺀 해독주스 재료를 끓이다 마지막에
브로콜리를 넣어 살짝 끓여준 뒤 믹서에 간다.
6. 접시에 담고 요거트를 뿌리고 체리와 애플민트를
올려준다.",1인분,,후식,기타,2022-08-12,0,0,0,0,카스텔라,꿀,견과류,요거트,체리10g해독주스:바나나,브로콜리,사과,당근,방울토마토,,100g,15g,15g,30g,50g,25g,50g,25g,25g,,0.0
API,740,물파래콩전,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101959_1416273599145.jpg,"1. 물파래는 씻어 체에 걸러 물기를 제거하고 잘게 썬다.
2. 물에 5시간정도 불린 노란콩은 물 반컵을 넣고 약 10분가량 삶아 건져 믹서에 곱게 간다.
3. 파는 다지고 홍고추는 어슷썰기 한다.
4. 밀가루에 1,2와 물 20g을 넣어 반죽을 한다.
5. 팬에 현미유를 두르고 반죽을 떠서 지름 8cm 가량의 크기로 동그랗게 부치면서 윗면에 홍고추로 장식한다.
6. 간장, 파, 식초, 통깨를 넣고 초간장을 만들어 물파래콩전과 곁들인다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,물파래,노란콩,우리밀가루,현미유,홍고추,물120g간장,파,식초0.,통깨0.,,5g,25g,10g,5g,2g,2g,1g,5g,2g,,0.0
API,739,꼬막떡꼬치구이,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101958_1416273598193.jpg,"1. 떡볶이떡은 반으로 잘라 끓는 물에 데쳐 건진다.
2. 꼬막은 씻어 떡을 데친 끓는 물(잔열)에 살짝 삶아 건진 후 식으면 꼬막살을 뺀다.
3. 꼬치에 데친 떡과 꼬막살을 번갈아 가며 꽂는다.
4. 파와 양파는 다진다.
5. 고추장, 양파, 파, 다진 마늘, 조청, 간장, 고춧가루, 참기름을 넣어 고추장양념을 만든다.
6. 팬에 현미유를 조금 두르고 고추장양념을 볶다가 3의 꼬막떡꼬치에 고추장양념을 입힌 후 통깨를 뿌린다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,꼬막,떡볶이떡40g고추장,양파,파,조청,현미유,다진마늘2.,간장,고춧가루,참기름,60g,8g,10g,5g,3g,3g,5g,1g,1g,1g,0.0
API,738,찬밥김치달걀찜,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101957_1416273597162.jpg,"1. 배추김치는 속을 털어낸다.
2. 1의 김치를 다진 다음 물기를 짠다.
3. 당근, 양파, 파는 잘게 다진다.
4. 달걀은 흰자와 노른자를 체에 거른다.
5. 달걀에 물 반컵을 넣고 잘 저은 후 1,2의 재료와 찬밥을 섞고 새우젓으로 간을 한다.
6. 5를 찜통에 넣고 찐다.",1인분,,반찬,찌기,2022-08-12,0,0,0,0,달걀,밥,김장김치,당근,양파,파,새우젓국물,물,,,50g,30g,20g,5g,5g,5g,2g,100g,,,0.0
API,737,홍합 쌀옹심이국,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101955_1416273595773.jpg,"1. 물 1컵 반에 홍합, 국멸치, 건다시마, 양파를 넣고 멸치다시마국물 1컵을 내고 다시마는 건져 채 썬다.
2. 감자는 껍질을 벗겨 찜통에 찐 후 으깬다.
3. 2의 재료에 쌀가루, 달걀노른자, 현미유, 소금을 넣고 반죽하여 구슬크기의 옹심이를 10개 정도 만든다.
4. 호박은 돌려깍기하여 2cm 가량으로 채 썰고 파, 홍고추, 청고추는 어슷썰기 한다.
5. 멸치다시마국물이 끓으면 옹심이를 넣고 익어서 떠오르면 홍합, 호박, 다진 파, 다진 마늘, 다시마를 넣고 국간장으로 간을 한다.
6. 홍고추와 청고추로 장식한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,쌀가루,감자,홍합살,애호박,달걀노른자,양파,다진파,국멸치,홍고추2.,청고추2.,50g,25g,20g,20g,20g,5g,5g,3g,5g,5g,0.0
API,733,옥수수감자샐러드,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102126_1416273686634.jpg,"1. 감자는 익기 쉽도록 토막 내고 완두콩과 옥수수알과 함께 김이 오른 찜통에 10~15분간 찐다.
2. 찐 감자를 으깬다.
3. 달걀은 삶아 흰자는 굵게 다지고 노른자는 체에 곱게 내린다.
4. 파프리카는 옥수수알 크기로 썬다.
5. 2에 완두콩, 옥수수, 파프리카, 달걀 흰자를 넣어 섞는다.
6. 마요네즈, 호상요구르트, 달걀노른자, 소금을 넣어 샐러드드레싱을 만들어 5와 곁들인다.",1인분,,반찬,끓이기,2022-08-12,0,0,0,0,감자,달걀,옥수수알,완두콩알,빨강파프리카,마요네즈,호상요구르트,소금0.,,,70g,60g,10g,5g,5g,12g,10g,15g,,,0.0
API,732,오징어채소말이와 치킨양념소스,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102125_1416273685292.jpg,"1. 오징어 몸통을 가르고 껍질을 벗긴 후 씻어서 물기를 제거 한다.
2. 오징어 안쪽에 대각선으로 0.3cm 간격의 칼집을 넣고 반대방향으로도 칼집을 넣는다.
3. 오이와 파프리카는 0.4cm 폭으로 길게 썬다.
4. 오징어의 칼집을 넣지 않은 부분에 오이와 파프리카를 얹고 김밥처럼 말아 실로 엮은 후 찜통에 넣고 찐다.
5. 치킨양념소스는 다진 마늘과 다진 양파를 팬에 기름을 두르지 않고 살짝 구워 향을 낸 후 고추장, 토마토케첩, 물엿을 넣고 소스를 만든다.
6. 익은 오징어 말이는 2~3cm 길이로 썰고 5의 소스를 곁들인다.",1인분,,반찬,끓이기,2022-08-12,0,0,0,0,오징어채소말이:오징어몸통,오이,빨강파프리카,노랑파프리카20g-치킨양념소스:토마토케첩,다진양파,물엿,고추장,다진마늘2.,,,80g,20g,20g,8g,8g,2g,2g,5g,,,0.0
API,731,홍시곶감화채,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102102_1416273662979.jpg,"1. 홍시의 껍질을 벗긴다.
2. 껍질 벗긴 홍시에 꿀과 물을 넣어 믹서에 간다.
3. 곶감을 갈라 씨를 뺀다.
4. 씨를 빼낸 곶감에 호두를 넣어 만다.
5. 곶감말이를 0.5cm 두게로 썬다.
6. 홍시 간 것에 곶감말이를 띄워 낸다.",1인분,,후식,기타,2022-08-12,0,0,0,0,얼린홍시,곶감,호두,꿀,물,,,,,,70g,30g,10g,20g,70g,,,,,,0.0
API,730,고구마라떼,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102102_1416273662245.jpg,"1. 고구마를 전자렌지에서 익힌다.
2. 전자레인지 마지막 1분이 남았을 때 컵에 우유를 따라 함께 데운다.
3. 거품기로 살짝 저어 거품을 낸다.
4. 고구마의 껍질을 벗겨 작게 잘라 우유, 요거트, 호두, 올리고당을 넣고 믹서에 간다.
5. 거품기로 살짝 저어 거품을 낸다.
6. 잔에 따르고 계피가루를 뿌린다.",1인분,,후식,끓이기,2022-08-12,0,0,0,0,고구마,우유,플레인요거트,다진호두,올리고당,계피가루0.,,,,,90g,100g,30g,10g,7g,25g,,,,,0.0
API,729,콜라비물김치,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102100_1416273660762.jpg,"1. 콜라비, 당근, 오이는 나박 썬다.
2. 고추는 둥글게 썰고 실파는 3cm 길이로 썬다.
3. 콜라비를 소금에 살짝 절인다.
4. 물에 찹쌀을 풀어 찹쌀풀을 쑤어 식힌다.
5. 찹쌀풀에 배와 적양파를 갈아 넣어 국물을 만든다.
6. 국물에 소금을 넣어 간을 맞추고 썰어놓은 채소에 부어 용기에 담아 익혀 먹는다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,콜라비,당근,오이,청고추,홍고추,실파0.,소금0.,물,찹쌀가루,배,10g,3g,6g,2g,1g,5g,5g,60g,10g,10g,0.0
API,728,과일겨자채,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102058_1416273658950.jpg,"1. 사과와 배는 사방 2cm 네모로 썰고, 밤도 얇게 썰어준다.
2. 1을 설탕물(물 1컵 + 설탕 2.5g)에 담근다.
3. 대추, 곶감은 굵게 채 썰고 호두, 땅콩은 굵게 다진다.
4. 분량의 재료를 섞어 겨자소스 만든다.
5. 과일을 체에 받쳐 물기를 빼고 소스에 버무린다.
6. 한입 크기로 자른 양상추에 샐러드를 올려낸다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,사과,배,밤,대추,곶감,호두,땅콩,양상추,연겨자1.,연유2.,25g,50g,10g,6g,10g,5g,5g,15g,25g,5g,0.0
API,407,미역줄기두부무침,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00407_2.png,"1. 두부는 물기를 꼭 짜준 후 으깬다.
2. 미역줄기는 불린 후 먹기 좋게 자른다.
3. 양념장을 만들어준다.
4. 준비된 견과류를 송송 다져준다.
5. 불린 미역줄기에 소스를 섞어 재워준다.
6. 불린 미역줄기에 두부를 넣어 섞어준다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,건조미역줄기,두부,로즈마리,혼합견과류25g소스:맛간장,다진양파,다진마늘,흰후추,통깨,식초,,10g,70g,1g,15g,15g,5g,1g,3g,5g,,0.0
API,409,주꾸미보양샐러드,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00409_2.png,"1. 더덕은 손질해 어슷하게 잘라 소금물에 살짝
담가준다.
2. 사과는 먹기 좋게 썰어서 레몬즙에 살짝
뿌려준다.
3. 주꾸미는 레몬즙을 넣어 살짝 데쳐준다.
4. 청고추, 홍고추는 씨를 제거하고 사과처럼
잘라주고. 양파도 잘라준다.
5. 소스를 만들어준다.
6. 모든 채소와 주꾸미를 섞어 소스랑 한데
버무려 완성한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,주꾸미,사과,더덕,양파,청고추,홍고추15g소스:마늘기름,식초,다진마늘,다진대파,레몬소금,50g,60g,40g,60g,15g,30g,15g,5g,5g,1g,0.0
API,725,잣소스새송이볶음,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102053_1416273653440.jpg,"1. 새송이버섯과 파프리카는 가늘게 채썬다.
2. 채선 야채는 팬에 기름을 두르고 살짝 볶아낸다.
3. 찹쌀가루, 물, 소금을 섞어 찹쌀 반죽을 만든다.
4. 팬에 기름을 두르고 반죽을 한 스푼씩 떠 넣어 동그랗게 부친다.
5. 소스 재료를 모두 넣어 믹서에 간다.
6. 채소볶음을 잣소스에 무쳐 찹쌀전병 위에 한 스푼씩 올려낸다.",1인분,,반찬,볶기,2022-08-12,0,0,0,0,새송이버섯,빨간파프리카,노란파프리카,찹쌀가루,물,소금0.,올리브유,잣,꿀0.,우유,30g,10g,10g,20g,30g,25g,4g,5g,5g,5g,0.0
API,410,전복내장밥,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00410_2.png,"1. 전복은 손질해 잘라주고 전복내장과 소주를
넣어서 믹서에 간다.
2. 참기름과 마늘기름을 섞어서 불린 쌀을 볶는다.
3. 연근, 당근, 단호박은 작은 깍두기 모양으로
잘라 각각 볶아준다.
4. 전복은 작은 깍두기 모양으로 잘라서 칵테일새우,
바지락살, 다진마늘, 청주를 넣어 살짝 볶아준다.
5. 냄비에 갈아준 전복내장을 만들어준 기름에
볶아주다 쌀을 넣고 볶고, 나머지 채소를
넣어 볶는다.
6. 마지막으로 새우, 바지락을 넣고 볶아 완성한다.",1인분,,밥,끓이기,2022-08-12,0,0,0,0,전복,칵테일새우,바지락살,당근,연근,단호박25g찹쌀,다진마늘,참기름,소주,흰후추,100g,25g,25g,15g,25g,50g,7g,15g,15g,1g,0.0
API,528,귀리죽,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00528_2.png,"1. 귀리는 깨끗이 씻어 물에 불린다.
2. 쌀도 씻어 따로 불려 놓는다.
3. 양파와 부추는 송송 썰어 준비한다.
4. 냄비에 참기름을 넣고, 소고기를 먼저
볶는다.
5. 볶아지는 냄비에 다시 불린 귀리와
쌀을 넣어 볶아준다.
6. 충분히 귀리가 볶아지면 물을 넣고
끓이다가, 썰어 놓은 채소를 넣고, 죽이
어우러지게 끓인 뒤 달걀을 풀어 넣고
다시 저어가면 끓여주고, 죽 위에
흑임자를 올려 완성한다.",1인분,,밥,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,527,두부된장무침,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00527_2.png,"1. 쌈채는 먹기 좋게 손으로 뜯어 놓는다.
2. 뜯어 놓은 쌈채를 물에 담그어 싱싱하게
준비해 놓는다.
3. 두부는 면보에 넣어 손으로 짜서 물기를
제거하고 준비한다.
4. 된장에 생크림을 넣어 골고루 섞어
짠 맛을 줄여준다.
5. 으깬 두부에 된장을 넣어 섞어준다.
6. 물에 담그어 놓은 채소를 체에 건져,
물기를 털어내고, 만들어 놓은 된장
소스에 넣어 무친다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,526,새우완자찜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00526_2.png,"1. 준비한 새우의 반은 껍질을 벗겨
내장을 제거하고 곱게 다진다.
2. 나머지 새우는 내장을 제거하고 껍질을
벗겨, 2/3 정도 반으로 갈라 소금, 후추로
밑간을 해 놓는다.
3. 다진 새우는 소고기와 섞어, 마늘을
넣고 양념이 충분히 스며들도록 준비해
놓는다.
4. 브로컬리는 데쳐 식힌 후 다지고, 당근과
양파도 다져 소금에 살짝 절여 물기를
제거해 놓는다.
5. 양념된 재료(③)에 준비해 놓은 채소
(④)를 넣고, 녹말가루와 달걀을 풀어
골고루 섞는다.
6. 반으로 갈라 준비한 새우에 녹말가루를
살짝 뿌리고, 섞어놓은 재료(⑤)를
완자를 빚어 새우에 올려 주고, 찜기에서
약 10분 정도 쪄서 완성한다.",1인분,,반찬,찌기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,525,허브닭스테이크,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00525_2.png,"1. 닭가슴살에 로즈마리, 후춧가루를
넣고, 15분 정도 우유에 담그어 놓는다.
2. 당근과 감자는 사각으로 깎아 양 모서리를
칼로 다시 다듬어 주사위 모양으로
둥그스럼하게 만들어 준비한다.
3. 냄비에 물이 끓으면, 브로컬리와 깎아
놓은 당근과 감자를 데쳐 준비한다.
4. 양송이는 껍질을 제거하고 모양 그대로
편으로 썰어 준비하고, 토마토와 마늘은
잘게 다져 냄비에 버터를 두르고 볶다가
케첩을 넣어준다.
5. 볶아지는 4번에 썰어 놓은 양송이와
생크림을 넣고, 다시 살짝 한 번 더
볶아준다.
6. 팬에 버터를 녹이고, 재워놓은 닭가슴살
(①)을 속이 익도록 노릇노릇 하게 익혀
접시에 담고, 만들어 놓은 감자와 당근,
브로컬리로 장식을 하고, 소스를 함께
올려 완성한다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,524,해산물누들볶음,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00524_2.png,"1. 홍합은 끓는 물에 살짝 데쳐 준비하고,
조개는 소금물에 담그어 해감을 해
놓는다.
2. 표고는 기둥을 제거하고 편으로 썰고,
양파는 채를 썰고, 홍파프리카와
피망은 씨를 제거한 뒤 5~6cm 길이로
채를 썰어 놓는다.
3. 새우는 요지를 이용하여 등에 있는
내장을 제거해 놓고 오징어는 피망과
비슷한 크기로 채를 썰어 놓는다.
4. 스파게티면은 끓은 물에 소금을 넣고
약 10분 정도 삶아 건져 올리브오일을
살짝 발라 준비한다.
5. 팬에 올리브 오일을 두르고, 편 마늘을
넣어 먼저 볶아 향을 만든다.
6. 마늘의 향이 나오면, 스파게티면을
넣어 볶다가 카레가루를 넣고, 다시
볶으면서 준비한 해물과 채소를 넣어
볶아 완성한다.",1인분,,일품,볶기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
